random,cyclic,lipschitz,GS,GSL
7268212.65297,7268212.65297,7268212.65297,7268212.65297,7268212.65297
7224162.19671,7255771.94444,7251847.2417,6908655.53826,6908655.53826
7150890.97747,7241858.02713,7250799.5167,6591445.77212,6591445.77212
7150849.24084,7233961.36657,7236224.15353,6399052.26612,6364394.07896
7035796.32757,7233083.5427,7161373.91069,6282403.34397,6182277.10126
7018915.78348,7221315.88929,7136103.01583,6186109.25492,6044818.64171
7016804.24956,7198782.26345,7122825.83511,6056066.59279,5928705.30032
7016773.02795,6947501.28838,7118065.66532,5995779.1127,5818736.94699
7016139.46647,6661311.45471,7055317.78463,5939864.7982,5705220.21287
6920554.61601,6658666.67147,7036201.28218,5791064.42035,5581040.05384
6916285.90324,6638564.63854,7028312.80298,5722587.49672,5485669.29725
6889900.5012,6610956.70603,7028006.93351,5578434.09039,5396270.47305
6868118.51813,6568595.8339,7027777.196,5453585.08984,5312037.16982
6851617.41908,6568530.64581,6967144.4175,5379627.93182,5227225.24206
6838378.27583,6568456.95462,6957464.79146,5340515.1303,5145025.65988
6788694.88049,6564822.23282,6816994.40994,5260656.30593,5067756.11506
6758780.15185,6564007.80791,6810485.3708,5199275.92165,4987740.50424
6754340.12274,6410116.24883,6808961.27394,5115661.39055,4909990.98531
6752050.50425,6409158.1029,6808955.17495,5060065.20122,4838357.19061
6725951.99819,6398709.33246,6789414.11577,5009364.14251,4760151.38233
6671546.04255,6390840.75317,6784996.58873,4961023.58366,4686295.20129
6668631.25054,6329058.89622,6749332.76794,4877964.44911,4615296.14377
6658140.41556,6329009.1323,6740392.81495,4782106.34493,4546409.74353
6630104.2521,6212237.17096,6737689.9133,4695360.27946,4478913.02589
6629602.37714,6205743.48269,6715230.74511,4594756.80201,4412090.93431
6628910.24782,6196200.7391,6606139.15484,4535520.54297,4333622.43826
6625202.19312,6194785.76901,6573025.09795,4453501.7087,4269992.26101
6622572.13375,6194609.22998,6544011.97055,4378403.12957,4207908.76537
6614820.71201,6175814.16846,6536451.94933,4329353.36782,4141723.65327
6596881.76937,6168727.91051,6536451.64244,4280305.28989,4081296.37562
6595307.35333,6160165.08423,6536451.53119,4190479.64854,4020013.3494
6536918.11605,6149790.22292,6534661.68395,4133374.75306,3957976.4228
6487296.05836,6149562.41689,6519392.27529,4088776.27995,3901962.13897
6476275.54818,6149513.5929,6461223.86469,4020262.40054,3843215.81295
6476250.58281,6134572.6902,6306821.56459,3964161.6936,3794067.37501
6468193.42787,6127302.92631,6306540.30321,3943881.24264,3745180.08389
6468000.08946,6127171.27293,6297136.36248,3908708.96098,3693515.06275
