GSL-r,GS-r,GS-s,GS-q,GSL-q
7432768.21071,7432768.21071,7432768.21071,7432768.21071,7432768.21071
7430016.09715,7064245.89763,7064245.89763,7064245.89763,7064245.89763
7427920.90848,6707241.59551,6707241.59551,6707241.59551,6707241.59551
7427918.277,6502386.25675,6502386.25675,6502386.25675,6499175.79749
7427914.00831,6325224.44178,6325224.44178,6325224.44178,6311883.54821
7411035.17935,6252641.75569,6252641.75569,6252641.75569,6131227.04808
7402085.80025,6122091.91223,6122091.91223,6122091.91223,5956944.50386
7402078.86803,6006162.66635,6006162.66635,6006162.66635,5802820.26285
7402078.35841,5868915.14899,5868915.14899,5868915.14899,5657095.82113
7392417.0704,5790250.52774,5790250.52774,5790250.52774,5516299.88791
7392393.82566,5618257.40918,5618257.40918,5618257.40918,5389376.84624
7378848.21039,5472962.39071,5472962.39071,5472962.39071,5277278.00083
7378839.5558,5415062.3795,5415062.3795,5415062.3795,5172318.44705
7378836.36593,5363524.25247,5363524.25247,5363524.25247,5066831.90946
7356971.53064,5317595.59959,5317595.59959,5317595.59959,4969767.5051
7356960.89527,5254664.36981,5254664.36981,5254664.36981,4877785.05968
7356960.30127,5172603.36378,5172603.36378,5172603.36378,4778941.92188
7327850.97893,5005151.18616,5005151.18616,5005151.18616,4692998.16489
7327782.93859,4934135.43229,4934135.43229,4934135.43229,4604869.61666
7327780.94703,4850071.65772,4850071.65772,4850071.65772,4521914.73172
7327707.19476,4748811.8657,4748811.8657,4748811.8657,4428465.06288
7327707.05864,4718092.1416,4718092.1416,4718092.1416,4350616.77366
7325934.64162,4696177.60901,4696177.60901,4696177.60901,4274428.83718
7325934.52587,4580872.12359,4580872.12359,4580872.12359,4200490.81784
7320621.56188,4501894.87238,4501894.87238,4501894.87238,4124725.64046
7320611.36366,4419769.61381,4419769.61381,4419769.61381,4051703.50729
7320610.42383,4340593.82296,4340593.82296,4340593.82296,3962920.95813
7312489.35532,4274164.05824,4274164.05824,4274164.05824,3901667.12835
7312475.21517,4208777.97129,4208777.97129,4208777.97129,3842005.04112
7312474.52389,4189774.93087,4189774.93087,4189774.93087,3784776.4524
7311513.66997,4078577.13008,4078577.13008,4078577.13008,3729831.74889
7311507.47588,4012134.65249,4012134.65249,4012134.65249,3673174.88035
7311506.68146,3977209.08436,3977209.08436,3977209.08436,3621675.31265
7309912.19781,3910227.75694,3910227.75694,3910227.75694,3565703.0316
7309901.20212,3852379.79921,3852379.79921,3852379.79921,3510422.68987
7304368.83535,3829119.04255,3829119.04255,3829119.04255,3459887.15718
7304347.47116,3799383.46848,3799383.46848,3799383.46848,3415798.67506
7304345.10253,3786211.44272,3786211.44272,3786211.44272,3373829.87028
7301270.3849,3732652.86801,3732652.86801,3732652.86801,3333458.84555
7301261.96795,3714409.6255,3714409.6255,3714409.6255,3295793.785
7301261.87591,3666730.86247,3666730.86247,3666730.86247,3256310.25115
7272247.86548,3641956.95675,3641956.95675,3641956.95675,3213933.3808
7272192.46234,3563513.36911,3563513.36911,3563513.36911,3171582.63719
7272178.20739,3534609.6943,3534609.6943,3534609.6943,3134472.21073
7269359.85675,3517241.13954,3517241.13954,3517241.13954,3094746.92214
7269350.74547,3410083.73561,3410083.73561,3410083.73561,3053512.72512
7269341.23023,3372715.06592,3372715.06592,3372715.06592,3017517.00226
7267404.28625,3343150.48904,3343150.48904,3343150.48904,2983110.78196
7267394.03401,3316126.38668,3316126.38668,3316126.38668,2948063.29795
7267390.19361,3294224.86929,3294224.86929,3294224.86929,2914337.91736
7251083.20431,3251104.9997,3251104.9997,3251104.9997,2878803.83382
7251042.43882,3224602.16683,3224602.16683,3224602.16683,2845046.03222
7250978.90173,3209459.05877,3209459.05877,3209459.05877,2813102.72794
7250978.82193,3176391.34086,3176391.34086,3176391.34086,2778023.40497
7250299.95474,3156077.9323,3156077.9323,3156077.9323,2744696.00293
7250299.19699,3124394.08559,3124394.08559,3124394.08559,2710650.53397
7243453.08288,3102620.07499,3102620.07499,3102620.07499,2678088.09805
7243432.56179,3059070.20277,3059070.20277,3059070.20277,2644345.81434
7243432.37505,3045513.91339,3045513.91339,3045513.91339,2611591.56508
7233254.90584,2991914.19604,2991914.19604,2991914.19604,2580432.06268
7233203.96416,2979808.12937,2979808.12937,2979808.12937,2550003.3376
7233203.85083,2959313.54869,2959313.54869,2959313.54869,2518032.61486
7233150.87859,2945997.43625,2945997.43625,2945997.43625,2490334.45678
7233150.81206,2911245.07831,2911245.07831,2911245.07831,2463158.19394
7231433.83364,2897992.77941,2897992.77941,2897992.77941,2435861.5773
7231433.76856,2873591.1261,2873591.1261,2873591.1261,2407130.64811
7229049.5275,2859955.05046,2859955.05046,2859955.05046,2378425.83077
7229047.39418,2833286.67392,2833286.67392,2833286.67392,2350123.61919
7229045.92289,2824725.98869,2824725.98869,2824725.98869,2324388.88579
7229019.02687,2794919.28195,2794919.28195,2794919.28195,2297062.19202
7229018.96961,2772331.85627,2772331.85627,2772331.85627,2272140.36554
7210290.73752,2758508.13879,2758508.13879,2758508.13879,2245755.01217
7210276.17198,2744011.27456,2744011.27456,2744011.27456,2221587.35332
7210259.86729,2722498.09812,2722498.09812,2722498.09812,2195483.88241
7209356.18102,2703228.05267,2703228.05267,2703228.05267,2171611.93478
7209354.05949,2690660.26463,2690660.26463,2690660.26463,2147840.63454
7209354.03738,2678265.96926,2678265.96926,2678265.96926,2121360.912
7188400.48679,2668041.85251,2668041.85251,2668041.85251,2096905.51629
7188352.48415,2656284.3772,2656284.3772,2656284.3772,2072417.13933
7188278.99291,2632298.664,2632298.664,2632298.664,2045280.00016
7188278.83897,2611658.42539,2611658.42539,2611658.42539,2021402.22427
7177262.18499,2585968.19858,2585968.19858,2585968.19858,1997292.33927
7177257.89955,2552818.02932,2552818.02932,2552818.02932,1975207.61521
7177237.4898,2546470.2885,2546470.2885,2546470.2885,1951659.6021
7177237.44705,2537036.00281,2537036.00281,2537036.00281,1930583.13867
7177224.40631,2526208.71122,2526208.71122,2526208.71122,1908458.58347
7154438.28511,2512093.87685,2512093.87685,2512093.87685,1888544.28431
7154320.65476,2491727.73052,2491727.73052,2491727.73052,1867704.82778
7154285.50915,2474738.43543,2474738.43543,2474738.43543,1847781.4857
7154285.44723,2461629.49117,2461629.49117,2461629.49117,1829666.15166
7154256.32017,2445376.41881,2445376.41881,2445376.41881,1810733.10627
7154256.28359,2421034.32912,2421034.32912,2421034.32912,1792820.70097
7153975.95061,2408014.93755,2408014.93755,2408014.93755,1774530.51008
7153975.22748,2384275.68899,2384275.68899,2384275.68899,1757738.92531
7152664.9715,2364311.87113,2364311.87113,2364311.87113,1740960.79179
7152663.29329,2355653.27629,2355653.27629,2355653.27629,1722594.12558
7152661.42541,2346088.21096,2346088.21096,2346088.21096,1705751.92421
7148529.27723,2326523.14568,2326523.14568,2326523.14568,1689525.28142
7148519.94071,2312602.12184,2312602.12184,2312602.12184,1674128.17961
7148515.61256,2303743.50592,2303743.50592,2303743.50592,1658993.87535
7148495.14819,2279042.2914,2279042.2914,2279042.2914,1643551.43934
